title,size,release,loaded
Remnant: From the Ashes,25.07 ГБ,2019 г.,238 351
Gestalt: Steam and Cinder,441 МБ,2024 г.,24 776
Enter the Gungeon,1.7 ГБ,2016 г.,119 208
"Warhammer 40,000: Boltgun",4.13 ГБ,2023 г.,53 378
Fate/Samurai Remnant,17.41 ГБ,2023 г.,47 359
Rise of the Tomb Raider,27.34 ГБ,2016 г.,337 812
Portal 2,10.33 ГБ,2011 г.,229 499
Dying Light,14.77 ГБ,2015 г.,1 021 149
BATTLETECH,9.11 ГБ,2018 г.,98 044
Street Fighter 30th Anniversary Collection,6.93 ГБ,2018 г.,24 944
PayDay 2,36.93 ГБ,2013 г.,312 374
Starfield,127.91 ГБ,2023 г.,195 726
The Binding of Isaac: Repentance,1.03 ГБ,2021 г.,281 409
Automobilista 2,20.82 ГБ,2020 г.,54 507
Pacific Drive,19.24 GB,2024 г.,29 984
Starbound,705.49 МБ,2016 г.,117 122
The Last of Us Part I,45.58 ГБ,2023 г.,751 601
Ratchet and Clank: Rift Apart,28.27 ГБ,2023 г.,94 504
DARK SOULS: REMASTERED,4.48 ГБ,2018 г.,371 576
"Hot Dogs, Horseshoes and Hand Grenades",13.53 ГБ,2016 г.,31 078
ZERO Sievert,238.04 МБ,2022 г.,106 969
The Isle,3.73 ГБ,2015 г.,176 073
The Forest,1.29 ГБ,2018 г.,381 464
Totally Accurate Battle Simulator,1.10 ГБ,2021 г.,374 554
Tomb Raider I-III Remastered Starring Lara Croft,2.42 GB,2024 г.,12 674
Tactical Assault VR,3.05 ГБ,2023 г.,5 127
Wobbly Life,703.1 МБ,2020 г.,45 934
Left 4 Dead 2,7.84 ГБ,2009 г.,424 656
UNDER NIGHT IN-BIRTH II Sys:Celes,2.4 ГБ,2024 г.,5 602
BattleBlock Theater,1.51 ГБ,2014 г.,22 304
Thief Simulator 2,4.18 ГБ,2023 г.,108 565
S.T.A.L.K.E.R. 2: Heart of Chornobyl,193.82 GB,2024 г.,477 761
Crab Champions,1.5 ГБ,2023 г.,40 948
Sniper Elite V2 Remastered,9.11 ГБ,2019 г.,67 652
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,13.72 ГБ,2021 г.,76 624
Risk of Rain 2,1.58 ГБ,2020 г.,191 885
Squad,21.9 ГБ,2020 г.,297 231
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,15.67 ГБ,2014 г.,81 460
L.A. Noire,11.11 ГБ,2011 г.,248 161
Men of War 2,17.8 GB,2024 г.,56 385
KINGDOM HEARTS HD 1.5+2.5 ReMIX,42.07 ГБ,2024 г.,47 086
Call of Duty: Modern Warfare 2,23.30 ГБ,2009 г.,813 318
Beyond Good & Evil - 20th Anniversary Edition,6.99 ГБ,2024 г.,7 559
PICO PARK,24.5 МБ,2021 г.,73 037
Deep Rock Galactic: Survivor,2.51 ГБ,2024 г.,24 564
Tower Unite,1.98 ГБ,2016 г.,12 410
STAR WARS: Squadrons,31.53 ГБ,2020 г.,90 168
Devil May Cry 5,24.3 ГБ,2019 г.,504 400
Counter-Strike: Source,1.92 ГБ,2004 г.,269 114
Astro Colony,2.40 ГБ,2022 г.,75 770
Neon White,5.51 ГБ,2022 г.,138 419
Moss,8.14 ГБ,2018 г.,24 114
